RegionName,Apr-96,May-96,Jun-96,Jul-96,Aug-96,Sep-96,Oct-96,Nov-96,Dec-96,Jan-97,Feb-97,Mar-97,Apr-97,May-97,Jun-97,Jul-97,Aug-97,Sep-97,Oct-97,Nov-97,Dec-97,Jan-98,Feb-98,Mar-98,Apr-98,May-98,Jun-98,Jul-98,Aug-98,Sep-98,Oct-98,Nov-98,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20
Fayette County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81522,81111,80758,79977,79415,78910,78503,77982,77268,76669,75999,75679,75159,74930,74688,74841,74678,74461,74087,73849,73832,73687,73744,73480,73434,73111,72698,71971,71371,70911,70614,70404,70307,70252,70054,69634,69375,68959,68726,68329,68075,67706,67350,67063,66791,66503,66255,66161,65905,65775,65600,65675,65798,65968,66058,65921,65742,65535,65400,65264,65266,65194,65149,65074,65037,64971,64907,64860,64876,64898,64968,65002,65071,65208,65395,65487,65485,65517,65503,65595,65577,65698,65743,65916,65927,66048,66128,66356,66461,66611,66884,67236,67634,67859,68116,68283,68588,68755,69006,69202,69604,69808,69986,70017,70221,70430,70649,70796,70898,70979,70926,70874,70673,70606,70633,70812,70988,71054,71133,71083,71065,71146,71293,71439,71128,70953,70959,71368,71180,70814,70232,70320,70410,70569,70621,70603,71620,72683,73080,72551,72521,73462,74621,75341,75962,76505,77013,77558,77937,78124,78640,79265,80100,80444,80812,81080,81430,81793,82236,82682,82785,82957,83145,83635,83796
Bremer County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104551,105532,106552,108546,110406,111816,112775,113356,113953,114571,115132,115439,115723,116096,116491,116654,116670,116994,117648,118592,119287,119774,120118,120687,121259,121463,121214,120845,120750,120839,121106,121420,121816,122128,122360,122356,122092,121836,121700,121831,121882,122077,122284,122476,122458,122394,122418,122674,123013,123291,123487,123540,123481,123150,122782,122514,122517,122582,122705,122729,122851,123067,123267,123389,123540,123636,123708,123577,123550,123446,123246,123089,122974,122919,122849,122886,123083,123452,123776,124135,124260,124432,124554,124694,124769,124897,124992,125125,125207,125297,125489,125693,125944,126120,126400,126595,126932,127160,127599,127989,128281,128568,128659,128892,129120,129168,129274,129509,130054,130576,130978,131455,132001,132630,132845,133022,133230,134747,136184,137569,138043,138669,139334,140031,140699,141380,143281,145240,147055,147293,147498,147761,148473,149139,149813,150453,151189,151813,151979,151995,152195,152960,153768,154508,155167,155799,156552,157270,157894,158313,158476,158810,159254,159667,159970,160296,160828,161311,161457,161494,161509,161756,162038,162435,162796,163251,163626,163931,164134,164399,164863,165437,166061,166639,167385,168001,168578,169062
Upshur County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79048,78996,79098,78959,78918,78890,79358,79808,80192,80364,80592,80794,81054,81417,81446,81823,81879,81990,81227,80666,80413,80601,80943,81355,81778,81937,82440,82937,83806,84577,85626,86363,86803,87083,87079,87058,87052,87366,87614,87704,87708,87839,88203,88730,89162,89535,89867,90325,90514,90969,91519,92295,93028,93380,93854,94417,95441,96513,97639,98670,99679,100484,101718,103008,104007,105311,106499,107743,108227,108430,108731,109140,109621,109915,109633,109868,110360,110777,110702,110572,110806,111190,111415,111500,111523,111651,111908,111622,111233,110760
Sabine Parish,77397,77166,77014,76898,77006,77426,77901,78422,78720,78947,78707,78443,78549,78923,78852,78420,78091,78336,78880,79281,79666,80132,81053,82382,83318,84277,85830,88057,89546,89655,89384,89893,90707,91470,92000,92845,93603,95061,96615,98091,99778,100492,100629,99449,99658,100673,102079,101947,102515,102325,102471,102108,102362,103698,105294,107260,108315,109166,109920,111462,112438,113102,113625,114505,115445,116027,116324,117001,117531,117794,117277,117508,117764,119045,119849,120498,120616,121080,122195,123128,124055,125151,126740,127657,128518,129280,130388,131907,133377,135082,136403,137440,138149,138838,140092,141177,142655,143505,144653,145451,146626,147166,147374,148130,149494,150471,150496,150287,149937,149602,148407,147000,145794,145224,145804,144851,143346,141459,139298,137056,133887,131508,128650,125455,121530,118214,114174,111342,108209,106013,103947,101941,99881,97305,95614,94380,93145,90555,88416,86557,85400,83606,82140,81124,80949,80587,80361,80400,80628,81556,81300,80971,80316,80211,80021,79526,79081,79038,78696,78084,77494,77054,77883,78463,79183,79475,80035,80694,80939,81009,81115,81077,81144,80963,80864,80765,81016,81502,81832,81801,81681,81686,82012,82418,82932,83246,83294,83411,82838,82172,81300,81306,81526,81595,81518,81588,81359,81234,80875,80685,80815,81136,81777,81983,82178,82528,82483,82576,82829,83627,84164,84587,84893,85279,85343,85689,86151,86675,87264,87741,88244,88322,88973,89485,90357,91170,92344,93035,93152,93153,93335,93473,93647,94020,94246,94608,94560,94183,93721,93441,93714,93909,94280,94609,94908,95113,95375,95466,95656,95948,96225,96622,97220,98012,98561,98987,99343,99722,99844,100105,100396,101041,101523,101802,101757,101735,101832,102056,102340,102623,102953,103466,104146,104554,104868,105167,105658,106042,106401,106711,106996,107262,107593,107719,107665,107597
Stark County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128335,127330,127011,126108,125750,125176,124779,124802,125255,125750,126016,126130,126397,127190,127690,128458,128830,129772,130449,130775,130763,130888,131377,132103,132785,133494,134238,134719,135154,135434,136094,136604,137012,137426,138087,138965,139707,140536,141213,141820,142011,142267,142545,143027,143491,143866,144176,144458,144842,145233,145727,146297,146944,147552,147932,148376,148779,149465,150142,150962,151722,152483,153167,153961,154798,155723,156507,157203,157932,158700,159555,160350,161156,162038,163025,163907,164820,165543,166643,167821,169406,170935,172475,174090,175911,177835,179868,182074,184442,186093,187741,189487,191780,193939,196008,198178,200192,202201,204015,205842,207563,211496,215238,218926,220412,222058,223820,225396,227003,228561,230496,232484,234452,235320,236176,236915,238658,240374,241962,243888,245647,247289,248272,249030,249853,250294,250687,251045,251797,252563,253280,253522,253843,254277,255073,255832,256186,256534,256971,257480,257848,258073,258344,258698,258934,258685,258145,257718,257766,257933,257794,257514,257204,257461,257639,257788,257529,257479,257591,257484,257910,258490,259425,260002,260550,260750,260977,261225,261777,262333,262808,263360,263304,263020,262544
Scott County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92089,91914,91781,91545,91419,91403,91382,91510,91848,92293,92623,92839,93074,93428,93889,94389,94853,95063,95373,95532,95483,95258,95128,95199,95304,95440,95479,95420,95284,95348,95385,95328,95206,95170,95318,95442,95487,95352,95082,94873,94592,94392,94070,93884,93669,93444,93163,92853,92501,92175,91908,91807,91647,91506,91206,90969,90672,90506,90274,90143,90119,90156,90194,90112,90127,90037,90046,89933,89810,89567,89362,89199,89020,88814,88612,88368,88144,88048,88036,88046,88037,88019,88000,87914,87786,87670,87570,87634,87686,87640,87487,87389,87402,87393,87385,87354,87380,87368,87394,87221,87075,86945,86984,86983,86991,87026,87116,87214,87347,87529,87707,88016,88386,88841,89210,89479,89730,90007,90261,90447,90563,90632,90779,90890,90981,91013,91077,91252,91382,91578,91618,91715,91870,92204,92442,92649,92779,92899,92972,93204,93498,93743,94295,95021,95709,96129,96485,96961,97365,97933,98597,99302,99964,100636,101161,101579,102039,102706,103474,104205,105052,105813,106599,107135,107792,108460,109190,109857,110474,111056,111614,112147,112643,113122,113532,114070,114510,114928,115291
Otsego County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112519,113703,113843,114515,114507,114597,114372,114196,114257,114560,114786,114609,114713,113794,113507,112859,112915,112725,112419,111981,111189,110154,109066,108355,107390,106670,105836,105219,104654,103939,103701,103180,102441,101280,100260,99252,98202,97147,96168,95300,94482,93759,93173,92895,92716,92738,92540,92474,91921,91362,90743,90490,90378,90464,90616,90590,90462,90329,90426,90635,91537,92450,93326,93496,93538,93382,93248,93211,93304,93485,93888,94306,94585,94796,95021,95538,96037,96624,97205,97913,98634,99275,99839,100344,100772,101144,101509,101940,102504,103137,103744,104318,104893,105522,105988,106484,106861,107307,107657,108130,108620,109073,109506,109803,110131,110505,110898,111205,111607,112104,112747,113257,113606,113942,114260,114694,115031,115408,115857,116474,117042,117646,118197,118711,119254,119824,120525,121266,122136,122954,123677,124241,124838,125197,125579,126117,127047,127937,128724,129395,130101,130689,131320,131917,132585,133331,134123,135044,135780,136457,136969,137501,138031,138657,139259,139911,140471,141058,141577,141899,142138,142410
Sumner County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81228,80890,80837,80783,80717,80774,80352,80550,80392,80998,81171,81203,81022,80955,81186,81141,81786,82185,83060,82681,82811,82168,82125,82200,82439,82832,82722,82636,81569,80643,80112,80387,80676,80600,80494,80540,80797,81072,81035,81032,80814,80674,80427,79973,79559,79076,78761,78356,77919,77800,77933,78242,78550,78672,78338,78226,78188,78537,78586,78607,78534,77756,76941,76252,76143,76167,76221,76258,76160,76042,76096,76206,76501,77130,77813,78294,78549,78781,79201,79446,79657,79753,79705,79591,79520,79602,79692,79688,79746,79872,80073,80464,80962,81445,81812,82203,82561,82779,82991,83294,83582,83857,83939,84071,84180,84435,84672,84930,85155,85608,86120,86717,87133,87327,87679,87774,87995,88035,88401,88662,88780,88763,88755,88786,88734,88817,88849,89127,89189,89406,89414,89513,89455,89351,89528,89641,90038,90471,90878,91149,91250,91475,91722,91931,92321,92758,92947,93136,93169,93142,93121,93123
Buchanan County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55118,54918,54753,54369,54109,54011,54007,53990,53780,53643,53487,53543,54192,54946,55512,55352,55261,55240,55528,55808,56168,56293,56335,56178,55120,53970,53157,53727,53979,53818,52956,52241,51908,51858,52039,52047,52157,52227,52281,52079,52037,52151,52462,52631,52669,52649,52653,52850,53204,53543,53721,53621,53540,53526,53752,54159,54456,54738,54864,55022,54999,55058,55215,55668,56087,56453,56644,56815,57042,57284,57476,57489,57472,57372,57163,56987,56834,56836,56763,56683,56544,56322,56150,56218,56347,56602,56820,56955,57087,57097,57229,57190,57094,56953,56984,56886,57012,56975,57183,57263,57352,57436,57423,57377,57377,57388,57438,57520,57703,57929,57911,57690,57478,57399,57590,57958,58341,58737,58972,59217,59272,59352,59517,59924,60322,60639,60764,60792
Lawrence County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173556,175865,178020,181983,184745,186394,187551,188351,189012,189038,188656,187987,187071,185804,184092,182107,181037,180674,180440,180189,179744,179634,179668,179828,179947,179694,179045,178620,178848,179338,179857,179767,179695,179581,179292,178510,177880,177057,176541,175798,174147,172841,171538,171649,171167,170724,170282,170475,170583,170926,171254,171990,173111,174353,175447,176137,177509,178864,180021,180455,181085,181666,182259,182511,182885,183085,183399,183128,182745,182514,183006,183818,184549,185272,185986,186786,187525,188225,188948,189877,190686,191146,191290,191624,192138,192983,193756,194579,195197,195858,196536,197254,198063,198988,199922,200811,201510,201903,202307,202897,203844,204869,205842,206951,207998,209152,210117,211046,211980,212902,213811,214519,215108,215681,216397,217116,217924,218760,219727,220628,221775,222790,223898,224802,225955,227121,228204,229110,229890,230566,231280,232042,232623,233351,233992,234833,235442,236002,236539,237159,237818
Brooke County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65749,65775,65913,65932,66184,66651,67480,68149,68861,69473,70178,70633,70812,71115,71480,72474,73112,73449,73409,73531,73510,73440,73176,73371,74002,74686,75081,74944,74792,74566,74271,74102,74109,74229,74246,73993,73610,73222,72911,72789,72683,72629,72140,71629,71027,70928,71319,71848,72222,72144,72081,72056,71858,71578,71243,70997,70972,70692,70330,69988,69984,70087,70183,70217,70327,70326,70807,71198,71592,71534,71402,71181,70831,70619,70456,70352,70224,70232,70021,69922,69592,69629,69658,69875,70010,70107,70088,70018,69936,69855,69800,69726,69741,69734,69920,70124,70408,70474,70434,70355,70283,70384,70331,70294,70249,70364,69902,69317,68787,68850,69198,69624,70057,70287,70590,70828,71088,71239,71714,72159,72539,72749,72854,72862,72909,72998,73182,73359,73622,73882,74234,74712,75172,75323,75344,75481,75744,75929,76091,76160,76090,75947,75812,75742,75746,75858,76179,76527,76740,76980,77074,77535,78163,78844,79267,79654,80111,80669,80957,81172,81497,81936,82531,82855,83179,83537,84105,84610,85016,85372,85866,86379,86841,87209,87527,87884,88174,88416,88617
Page County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145017,146151,147285,149635,151902,153789,155322,156681,158213,159716,161089,162282,163387,164309,165250,165874,166529,167258,168195,169057,169441,169599,169620,169728,169903,170234,170100,169724,169123,168948,168834,168691,168379,167994,167554,166995,166112,165147,164384,163890,163178,162231,161220,160431,159799,159200,158794,158199,157596,156664,155700,154638,153717,152940,152246,151547,150815,150200,149614,149277,149114,148909,148701,148437,148368,148159,147856,147432,147002,146504,145860,145235,144579,144313,144121,144019,143668,143268,142944,142681,142541,142466,142515,142427,142224,141924,141727,141696,141809,142044,142045,142234,142260,142381,142369,142488,142662,142648,142471,142396,142437,142367,142603,142644,142809,142767,142874,143062,143328,143710,144137,144266,144280,144396,144457,144536,144727,144951,144918,144665,144562,144853,145182,145594,145898,146226,146341,146359,146195,146131,146824,147595,148185,148026,147959,147931,147991,147951,148109,148507,148977,149438,149220,148935,148636,148693,148750,148809,149085,149507,149933,150262,150827,151389,151942,152338,152883,153574,154109,154607,154935,155255,155445,155699,156423,157322,158404,159173,159905,160603,161392,162170,162922,163603,164328,164982,165105,165061,164958
Menominee County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49638,49798,49809,49658,49567,49597,49877,49959,50192,50698,51195,51457,51441,51569,51812,52507,52820,52814,52082,51903,51981,51989,51820,51590,51628,51405,51312,51219,51584,52098,53136,53696,53652,53100,53149,54014,55191,55920,56307,56390,56495,56868,57616,58504,58967,59467,59297,58874,58362,58298,58289,58089,58136,58419,58367,58611,59365,60474,61475,62033,61924,62178,62711,63957,64709,65024,65369,65461,65493,65650,65959,66552,67096,67374,67717,67598,67721,67913,68397,68679,69003,69194,69583,69982,70636,71406,71806,72820,73703,74736,74953,75317,75535,75304,75065,74817,75171,75354,75850,76154,76464,76527,76470,76349,76444,76888,77303,77509,77410,77495,77587,77689,77903,78310,79225,80244,81238,82303
Hampshire County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108349,108483,108621,109056,109606,110263,110978,112149,113624,115328,116961,118657,120363,122167,123889,125605,127341,129133,131022,132058,132762,133172,133950,134806,135670,136439,137503,138363,139150,139767,140189,140907,141578,142303,142903,143388,143907,144517,145009,145542,145886,146138,146390,146821,147082,147303,147143,146846,146521,146202,146672,147107,147500,147281,147073,146743,146345,145726,145236,144649,144074,143334,141708,140107,138851,138563,138483,138287,138455,138500,138487,138389,138311,138319,138236,138135,137803,137334,136792,136336,135509,135011,134611,134657,134498,134379,134500,134653,134851,134997,134969,135044,135145,135387,135493,135456,135432,135459,135469,135565,135698,135766,136070,136197,136521,136468,136602,136618,136924,137200,137557,137786,138026,138167,138398,138669,138859,139036,139094,139277,139324,139532,139773,140129,140377,140639,140605,140698,140931,141331,141689,141790,141935,141868,141823,141756,141801,141977,142213,142423,142435,142445,142574,142875,143035,143045,142873,142614,142315,142000,141767,141570,141444,141528,141680,141938,142134,142260,142527,142967,143693,144226,144613,144894,145274,145532,145434,145235,145122,145602,146127,146594,147099,147744,148394,148773,149099,149571,150238,150880,151489,151688,151800,151870,151754,151596,151450
Fairfield County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55984,56124,56237,56866,58027,59174,60471,61224,62087,62599,63227,63479,63728,64173,65436,66178,66029,65759,65083,65008,64313,64269,64256,64593,64578,64383,63638,63197,62755,62387,62259,62441,63148,63571,63403,63492,63923,64677,64846,64827,64721,64665,64518,64150,63994,63781,63946,63686,63479,63097,63064,63064,63221,63202,63312,63439,63491,63514,63545,63458,63279,63002,62814,62672,62558,62645,62547,62482,62443,62512,62529,63000,63556,64108,64300,64359,64429,64345,64494,64700,64933,65090,65262,65073,64852,64728,65016,65319,65450,65800,66120,66553,66832,67189,67595,67893,68247,68474,68547,68632,68879,69151,69283,69329,69495,69697,69717,70041,70357,70791,71041,71368,71768,72092,72371,72535,72687,72911,73236,73666,73831,73967,74070,74388,74676,74908,75126,75345,75694,75982,76334,76050,76068,76115,76586,76719,76638,76408,76417,76465,76339,76235,76215,76760,76952,77084,77022,77102,77341,77738,77975,78216,78533,78851,79069,79143
Ohio County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60823,61450,62009,62827,63333,63747,64246,64719,65251,65779,66520,66744,66916,66620,66379,66166,66231,66427,66611,66669,66464,66161,65722,65904,66170,66818,67203,67952,68696,69203,69384,69630,70223,70738,70964,71398,71879,72183,72460,72643,73071,73646,74098,74754,75000,75691,76198,76238,75949,75810,76145,76481,76901,77113,77687,77851,77812,77346,77216,77530,78171,78770,79208,79604,79637,79884,79956,80298,80939,81956,82782,83380,83632,83975,84303,84637,85240,85670,86274,86712,87281,87770,88190,88498,88792,89231,89651,90079,90449,90876,91175,91547,91711,91817,91995
Leake County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105027,104484,103208,101348,99563,98618,97870,97322,96714,95975,95130,94972,95097,95126,95240,95155,95065,94315,93618,92458,91471,90968,91142,90617,89508,88321,87932,87740,87680,87424,87065,87216,87609,88131,88021,87673,87482,87261,87218,87354,87635,87787,87707,87774,87396,86029,84787,84069,84311,84150,83986,83724,83584,83555,83538,83062,82851,83093,83703,83905,83861,84109,84030,83212,82192,81532,81383,81470,81811,82398,82832,83253,83575,83971,84227,85183,85988,86825,87586,87951,87431,86445,85989,86161,86381,87125,88139,88682,88863,88882,88526,88636,89081,89783,90009,89861,89387,87791,86621,86158,86557,86369,86567,86865,87641,88211,88952,89834,91136,92568,93329,93585,93406,93784,94121,94256,94577,94900,94483,93620,93190,93799,94429,94500,94729,95545,96450,97319,97373,97508,97894,98647,98779,98610,98487,99027,99521,99463,99337,99353,99841,100352,101064,101755,102681
Panola County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90440,90699,91445,91792,91973,91652,92046,92375,92734,92948,93396,93694,94122,94502,94115,94188,94407,95670,96127,96823,97360,98230,98675,99255,99618,99899,100236,101132,102137,102447,102465,102064,101867,101342,101115,100996,101040,101164,101285,101451,101565,101757,101779,101991,102068,102238,102047,101833,101374,101139,100950,100556,99992,99536,99354,99409,99409,99592,99533,99659,99678,99672,99497,99179,99028,98788,98717,98500,98365,98167,98130,98097,98270,98353,98508,98769,98913,98973,98822,98753,98765,98812,98999,99112,99172,99308,99483,99759,100149,100624,101219,101705,102256,102726,103129,103533,104005,104559,105222,105837,106449,107079,107730,108388,108969,109568,110235,110871,111486,112018,112498,113108,113721,114529,115122,115894,116509,117282,117904,118655,119433,120289,121065,121825,122565,123055,123501,123918,124551,125031,125545,126076,126776,127373,128003,128534,129140,129752,130555,131235,131834,132342,132917,133430,133801,134269,134799,135044,135218,135404,135970,136512,137144,137736,138324,138573,138990,139264,139804,140262,140791,141272,141650,141992,142248,142500,142804,143399,143904,144496,144854,145451,146028,146665,147181,147792
Wyoming County,25997,26004,26020,25993,26046,26073,26101,26073,26083,26210,26403,26682,26899,26999,26836,26770,26816,26995,27136,27195,27276,27236,27334,27095,26859,26594,26841,27112,27027,26744,26562,26771,26921,26992,26908,26880,26957,27289,27501,27581,27708,27981,28202,28142,27982,27892,27842,27981,28150,28253,28216,28287,28406,28664,28901,29170,29459,29771,30012,30121,30164,30178,30354,30474,30633,30632,30626,30724,30846,30941,31037,31142,31182,31145,31021,31033,31079,31195,31317,31319,31303,31267,31342,31469,31670,31886,32104,32168,32226,32207,32223,32309,32449,32638,32780,32931,33162,33365,33525,33657,33832,34066,34236,34419,34616,34860,35164,35499,35660,35764,35885,36170,36342,36511,36785,37073,37362,37564,37628,37580,37553,37727,37916,38026,38182,38321,38424,38405,38316,38198,38149,38314,38639,38939,39133,39203,39213,39141,39043,39002,38975,38879,38808,38439,37886,37245,37020,36948,36978,36772,36638,36466,36389,36373,36307,36282,36499,36703,36558,36251,35883,36004,35947,35998,35958,35986,35906,36023,35926,35813,35655,35878,36197,36518,36998,37325,37677,38014,38287,38439,38472,38816,38911,38974,39077,39298,39504,39891,40221,40538,41068,41244,41454,41262,42025,42290,42167,41189,40369,39428,38613,37798,37309,37207,37198,37363,36836,36391,35946,36198,36182,36334,36289,36410,36199,36142,36108,35975,35892,36093,36563,36808,37203,37486,37977,38187,38325,38272,38323,38475,38695,38733,38728,38783,38698,38555,38296,38252,38341,38379,38337,38275,38232,38148,38035,37762,37569,37335,37272,37311,37401,37460,37400,37261,37216,37219,37216,37321,37477,37771,37918,37823,37666,37566,37628,37637,37618,37616,37625,37661,37737,37869,37977,38036,38053,38074,38103,38204,38273,38320,38368,38372,38309,38147,38042,38059
